,author,book_url,book_title,book_file
0,"Tacitus, Cornelius, 56-117",/ebooks/37696,"Arguments of Celsus, Porphyry, and the Emperor Julian, Against the ChristiansAlso Extracts from Diodorus Siculus, Josephus, and Tacitus, Relating to the Jews, Together with an Appendix",data\37696.txt
1,"Tacitus, Cornelius, 56-117",/ebooks/9090,Germania and Agricola,data\9090.txt
2,"Tacitus, Cornelius, 56-117",/ebooks/7524,The Germany and the Agricola of Tacitus,data\7524.txt
3,"Tacitus, Cornelius, 56-117",/ebooks/7959,"The Reign of Tiberius, Out of the First Six Annals of Tacitus;With His Account of Germany, and Life of Agricola",data\7959.txt
4,"Tacitus, Cornelius, 56-117",/ebooks/2995,Tacitus on Germany,data\2995.txt
5,"Tacitus, Cornelius, 56-117",/ebooks/16927,"Tacitus: The Histories, Volumes I and II",data\16927.txt
6,"Taggart, Marion Ames, 1866-1945",/ebooks/48552,The Blissylvania Post-Office,data\48552.txt
7,"Taggart, Marion Ames, 1866-1945",/ebooks/48604,The Daughters of the Little Grey House,data\48604.txt
8,"Taggart, Marion Ames, 1866-1945",/ebooks/48363,The Little Grey House,data\48363.txt
9,"Taggart, Marion Ames, 1866-1945",/ebooks/39323,A Pilgrim Maid: A Story of Plymouth Colony in 1620,data\39323.txt
10,"Taggart, Marion Ames, 1866-1945",/ebooks/47655,Six Girls and Bob: A Story of Patty-Pans and Green Fields,data\47655.txt
11,"Taggart, Marion Ames, 1866-1945",/ebooks/48389,Six Girls and the Tea Room,data\48389.txt
12,"Taggart, Marion Ames, 1866-1945",/ebooks/47739,The Wyndham Girls,data\47739.txt
13,"Quick, Herbert, 1861-1925",/ebooks/23745,Aladdin & Co.: A Romance of Yankee Magic,data\23745.txt
14,"Quick, Herbert, 1861-1925",/ebooks/26987,The Brown Mouse,data\26987.txt
15,"Quick, Herbert, 1861-1925",/ebooks/19451,"Double Trouble; Or, Every Hero His Own Villain",data\19451.txt
16,"Quick, Herbert, 1861-1925",/ebooks/12179,Vandemark's Folly,data\12179.txt
17,"Quick, Herbert, 1861-1925",/ebooks/40587,Yellowstone Nights,data\40587.txt
18,"Habberton, John, 1842-1921",/ebooks/14895,All He Knew: A Story,data\14895.txt
19,"Habberton, John, 1842-1921",/ebooks/43994,Caleb Wright: A Story of the West,data\43994.txt
20,"Habberton, John, 1842-1921",/ebooks/4281,Helen's Babies,data\4281.txt
21,"Habberton, John, 1842-1921",/ebooks/13832,"Romance of California LifeIllustrated by Pacific Slope Stories, Thrilling, Pathetic and Humorous",data\13832.txt
22,"Habberton, John, 1842-1921",/ebooks/54627,"The Scripture Club of Valley Rest; or, Sketches of Everybody's Neighbours",data\54627.txt
23,"Habberton, John, 1842-1921",/ebooks/51788,"Trif and TrixyA story of a dreadfully delightful little girl and her adoring and tormented parents, relations, and friends",data\51788.txt
24,"Jackson, Gabrielle E. (Gabrielle Emilie), 1861-",/ebooks/26549,Caps and Capers: A Story of Boarding-School Life,data\26549.txt
25,"Jackson, Gabrielle E. (Gabrielle Emilie), 1861-",/ebooks/25765,A Dixie School Girl,data\25765.txt
26,"Jackson, Gabrielle E. (Gabrielle Emilie), 1861-",/ebooks/22113,Peggy Stewart at School,data\22113.txt
27,"Jackson, Gabrielle E. (Gabrielle Emilie), 1861-",/ebooks/5729,"Peggy Stewart, Navy Girl, at Home",data\5729.txt
28,"Jackson, Gabrielle E. (Gabrielle Emilie), 1861-",/ebooks/38029,Three Little Women: A Story for Girls,data\38029.txt
29,"Yates, Dornford, 1885-1960",/ebooks/27684,Anthony Lyveden,data\27684.txt
30,"Yates, Dornford, 1885-1960",/ebooks/17469,Berry and Co.,data\17469.txt
31,"Yates, Dornford, 1885-1960",/ebooks/748,The Brother of Daphne,data\748.txt
32,"Yates, Dornford, 1885-1960",/ebooks/27079,Jonah and Co.,data\27079.txt
33,"Yates, Edmund",/ebooks/59207,Broken to HarnessA Story of English Domestic Life,data\59207.txt
34,"Yates, Edmund",/ebooks/58517,Kissing the Rod. (Vol. 1 of 3)A Novel.,data\58517.txt
35,"Yates, Edmund",/ebooks/58518,"Kissing the Rod, Vol. 2 (of 3)A Novel",data\58518.txt
36,"Yates, Edmund",/ebooks/58519,"Kissing the Rod, Vol. 3 (of 3)A Novel",data\58519.txt
37,"Zangwill, Israel, 1864-1926",/ebooks/28164,The Big Bow Mystery,data\28164.txt
38,"Zangwill, Israel, 1864-1926",/ebooks/12680,Children of the Ghetto: A Study of a Peculiar People,data\12680.txt
39,"Zangwill, Israel, 1864-1926",/ebooks/20631,"Chosen PeoplesBeing the First ""Arthur Davis Memorial Lecture"" delivered before the Jewish Historical Society at University College on Easter-Passover Sunday, 1918/5678",data\20631.txt
40,"Zangwill, Israel, 1864-1926",/ebooks/28982,Ghetto Comedies,data\28982.txt
41,"Zangwill, Israel, 1864-1926",/ebooks/35076,Ghetto Tragedies,data\35076.txt
42,"Zangwill, Israel, 1864-1926",/ebooks/35238,The Grandchildren of the Ghetto,data\35238.txt
43,"Zangwill, Israel, 1864-1926",/ebooks/16408,The Grey Wig: Stories and Novelettes,data\16408.txt
44,"Zangwill, Israel, 1864-1926",/ebooks/38413,The King of Schnorrers: Grotesques and Fantasies,data\38413.txt
45,"Zangwill, Israel, 1864-1926",/ebooks/20078,Merely Mary Ann,data\20078.txt
46,"Zangwill, Israel, 1864-1926",/ebooks/45623,The Old Maids' Club,data\45623.txt
47,"Zangwill, Israel, 1864-1926",/ebooks/6304,Without Prejudice,data\6304.txt
48,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21117,Betty Trevor,data\21117.txt
49,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21109,Big Game: A Story for Girls,data\21109.txt
50,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21110,A College Girl,data\21110.txt
51,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/32933,The Daughters of a Genius,data\32933.txt
52,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21118,Etheldreda the Ready: A School Story,data\21118.txt
53,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21119,Flaming June,data\21119.txt
54,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21120,The Fortunes of the Farrells,data\21120.txt
55,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21129,The Heart of Una Sackville,data\21129.txt
56,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21121,A Houseful of Girls,data\21121.txt
57,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21098,The Independence of Claire,data\21098.txt
58,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/32882,Lady Cassandra,data\32882.txt
59,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/23124,The Lady of the Basement Flat,data\23124.txt
60,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/23125,The Love Affairs of Pixie,data\23125.txt
61,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21099,More About Peggy,data\21099.txt
62,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21101,Pixie O'Shaughnessy,data\21101.txt
63,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/32920,A Question of Marriage,data\32920.txt
64,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21103,Sisters Three,data\21103.txt
65,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/21102,Tom and Some Other Girls: A Public School Story,data\21102.txt
66,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/32936,An Unknown Lover,data\32936.txt
67,"Vaizey, George de Horne, Mrs., 1857-1917",/ebooks/32935,What a Man Wills,data\32935.txt
68,"Waddington, Mary King, 1833-1923",/ebooks/14029,Chateau and Country Life in France,data\14029.txt
69,"Waddington, Mary King, 1833-1923",/ebooks/37953,"Italian Letters of a Diplomat's Wife: January-May, 1880; February-April, 1904",data\37953.txt
70,"Waddington, Mary King, 1833-1923",/ebooks/38825,"Letters of a Diplomat's Wife, 1883-1900",data\38825.txt
71,"Waddington, Mary King, 1833-1923",/ebooks/10003,"My First Years as a Frenchwoman, 1876-1879",data\10003.txt
